LocationName|PermitNumber|LocationGridRef|X|Y|LATITUDE|LONGITUDE|ReceivingWaterCourse|AlertStatus|AlertPast48Hours|MostRecentDischargeAlertStart|MostRecentDischargeAlertStop
Hammersmith|CSAB.0572|TQ23107799|523100|177990|51.487470209341|-0.228416992854987|River Thames|Not discharging|False|2023-03-31T20:45:00|2023-03-31T23:30:00
Hampstead Norreys|TEMP.2647|SU53207573|453200|175730|51.4780352564543|-1.23534692290237|River Pang|Discharging|True|2023-04-04T10:45:00|None
Hamstead Marshall|CSSC.1381|SU41726521|441720|165210|51.3844100018477|-1.40187599888693|Hamstead Stream|Not discharging|False|2023-04-01T23:45:00|2023-04-02T00:15:00
Hannington|TEMP.2675|SU17729347|417720|193470|51.639757686459|-1.7453359248339|Bydemill Ditch|Not discharging|False|2023-04-01T06:00:00|2023-04-01T09:30:00
Hanwell|TEMP.2648|SP43784364|443780|243640|52.0893841425837|-1.36243336343247|Hanwell Brook|Not discharging|True|2023-04-03T06:45:00|2023-04-03T07:15:00
Harpenden|TEMP.2649|TL15101471|515100|214710|51.8191722081271|-0.331510203882008|River Lee|Not discharging|False|2023-03-31T19:45:00|2023-04-01T03:45:00
Hartley Wintney|CTCR.1865|SU76695805|476690|158050|51.3164006685457|-0.900978401542125|Tributary of River Whitewater|Not discharging|True|2023-04-02T08:30:00|2023-04-02T12:30:00
Haslemere|CTCR.1203|SU87793253|487790|132530|51.0853795623448|-0.7479795737179|River Wey|Not discharging|False|2023-03-30T18:00:00|2023-04-02T08:15:00
Hatfield Heath|CSSC.0261|TL52271399|552270|213990|51.8038215980012|0.207064373232821|Pincey Brook|Discharging|True|2023-03-29T20:00:00|None
Heath Wall PS|CSAB.0522|TQ29537772|529530|177720|51.4836089455055|-0.135957857667663|River Thames|Not discharging|False|2023-03-31T19:15:00|2023-03-31T22:45:00
Henley|TEMP.2657|SU76058418|476050|184180|51.5513933151749|-0.904556744475865|Fawley Court Stream|Not discharging|False|2023-03-31T18:00:00|2023-04-01T15:00:00
Henley Road|TEMP.2679|TQ42927973|542920|179730|51.4984481791002|0.0575647136809568|River Thames|Not discharging|True|2023-04-03T21:28:00|2023-04-03T21:34:00
Heyford|TEMP.2658|SP49282543|449280|225430|51.9252153579605|-1.28477943003844|River Cherwell|Not discharging|False|2023-04-01T08:15:00|2023-04-01T10:15:00
High Road, Woodford|TEMP.2681|TQ41498929|541490|189290|51.5847109139388|0.0408175998861288|River Roding|Not discharging|False|2023-03-31T19:00:00|2023-03-31T19:30:00
High Wycombe|TEMP.2659|SU885920|488500|192000|51.6198751548314|-0.723071315953717|River Wye|Offline|False|None|None
Highfield Road Jct With Brookside Road|CANM.1220|TQ24348835|524340|188350|51.5803046574406|-0.206912047148002|Decoy Brook|Not discharging|False|None|None
Highworth|CNTD.0075|SU19799377|419790|193770|51.6423864193897|-1.71540709269813|Westrop Brook|Not discharging|True|2023-03-31T08:30:00|2023-04-02T18:00:00
Highworth Eastrop|RET/TH/24/RG|SU209928|420900|192800|51.6336250944008|-1.699424052821|Groundwater|Not discharging|False|2023-04-01T06:15:00|2023-04-01T06:45:00
Hillside Avenue|AB3890AS|TQ41929219|541920|192190|51.6106610314211|0.0481919400388552|River Roding|Not discharging|False|2022-12-23T09:15:00|2022-12-23T10:30:00
Hockford (Pirbright)|CNTD.0037|SU95895417|495890|154170|51.2786146083557|-0.626599642784986|Stanford Brook|Not discharging|False|2023-03-31T18:00:00|2023-04-01T16:00:00
Hogsmill|CASM.0042|TQ19206856|519200|168560|51.403552584283|-0.287733158467019|River Hogsmill|Not discharging|False|2023-03-31T16:15:00|2023-04-01T16:00:00
Holloway Storm Sewer|CSAB.0527|TQ36078081|536070|180810|51.5098421868448|-0.0406389711456526|River Thames|Not discharging|False|None|None
Holmwood|CTCR.1189|TQ18924492|518920|144920|51.1911398059566|-0.299624996739237|Holmwood Stream|Not discharging|True|2023-04-03T21:00:00|2023-04-03T22:15:00
Holybourne|CASM.0710|SU73514059|473510|140590|51.1598482391564|-0.95017728951343|River Wey|Not discharging|False|2023-01-16T01:30:00|2023-01-18T00:15:00
Honeypot Lane|CANM.0664|TQ18848984|518840|189840|51.5948810832449|-0.285745338774591|Kenton Brook|Not discharging|False|2023-03-31T19:00:00|2023-03-31T20:15:00
Hook Norton|CTCR.1796|SP36903345|436900|233450|51.9982737321677|-1.46394012300723|Hook Norton Brook|Not discharging|False|2023-04-01T08:30:00|2023-04-01T09:15:00
Horley (Oxon)|TEMP.2667|SP42234338|442230|243380|52.0871668516696|-1.38508669537838|Sor Brook|Not discharging|True|2023-04-03T11:15:00|2023-04-03T12:00:00
Horley (Surrey)|CTCR.1779|TQ26794359|526790|143590|51.1774963605182|-0.187532053827068|River Mole|Not discharging|True|2023-03-31T05:30:00|2023-04-02T23:00:00
Hornton|TEMP.2669|SP39694476|439690|244760|52.0997606207658|-1.42199446269907|Hornton Stream|Not discharging|False|2022-10-23T19:15:00|2022-10-23T22:15:00
Horseferry Road|CSAB.0563|TQ30277901|530270|179010|51.4950319400182|-0.124831228411309|River Thames|Not discharging|True|2023-04-04T06:22:00|2023-04-04T06:32:00
Horton-Cum-Studley|CNTD.0008|SP60561199|460560|211990|51.8032813803114|-1.12311673303999|Danes Brook|Not discharging|False|2023-03-31T07:30:00|2023-04-02T01:30:00
Huckers Lane (Selbourne)|TEMP.1200|SU744339|474400|133900|51.0995869845715|-0.938831558065412|Oakhanger Stream|Offline|False|None|None
Hungerford|CSSC.2335|SU35386820|435380|168200|51.4117232574995|-1.49267978126463|River Kennet|Not discharging|False|2023-04-01T09:15:00|2023-04-01T12:00:00
Iron Gate|CSAB.0580|TQ33718037|533710|180370|51.5064510566123|-0.0747921635799024|River Thames|Not discharging|False|2023-03-31T21:48:00|2023-03-31T22:00:00
Ironsbottom (Sidlow)|TEMP.2691|TQ25024648|525020|146480|51.2038598022002|-0.211835127362908|Tributary of River Mole|Not discharging|False|None|None
Isle Of Dogs, London|CSSC.7688|TQ38407970|538400|179700|51.4993023372617|-0.00752075373469071|River Thames|Not discharging|False|None|None
Islip|TEMP.2692|SP53101388|453100|213880|51.8210295039279|-1.23100694423519|River Ray|Not discharging|True|2023-04-03T17:45:00|2023-04-04T09:45:00
Iver (North)|CNTD.0079|TQ04348081|504340|180810|51.5165863189353|-0.497669977242048|Colne Brook|Not discharging|None|None|None
Jews Row Pumping Station (Falconbrook Storm Relief)|CSSA.0383|TQ25927542|525920|175420|51.4637533190173|-0.188738030245438|River Thames|Not discharging|False|2022-11-28T14:38:00|2022-11-28T17:00:00
Kempsford|CATM.3520|SU16579754|416570|197540|51.6763864591954|-1.76176214285044|Dudgrove Stream|Not discharging|False|2023-03-31T23:30:00|2023-04-01T05:15:00
Kendal Road, Cullingworth Road|TEMP.2708|TQ21798559|521790|185590|51.556056404595|-0.244650635716204|Mitchell Brook|Not discharging|False|2022-08-17T14:30:00|2022-08-17T15:00:00
Kew Transfer|CASM.0249|TQ19807700|519800|177000|51.4792807052529|-0.276258039516789|River Thames|Not discharging|None|None|None
Kilda Road|TEMP.1250|SU195930|419500|193000|51.6354733117217|-1.71964055228902|Westrop Brook|Offline|False|None|None
Kimpton Road (Vauxhall Rd)|CANM.0473|TL10912000|510910|220000|51.8675618786663|-0.390578582587566|River Lee|Not discharging|False|None|None
Kingham|CTCR.1981|SP25872332|425870|223320|51.9078204135007|-1.6253532966172|Cornwell Brook|Not discharging|False|2023-04-01T13:00:00|2023-04-01T15:45:00
Kings Avenue|EPR/AB3890EX|TQ41929219|541920|192190|51.6106610314211|0.0481919400388552|River Roding|Not discharging|False|2022-08-17T15:30:00|2022-08-17T17:15:00
Kings Scholars Pond|CSAB.0561|TQ29877806|529870|178060|51.4865865270361|-0.130939190509015|River Thames|Offline|False|None|None
Kings Sutton|TEMP.2702|SP50253562|450250|235620|52.0167370332287|-1.26918672784033|Kings Sutton Stream|Not discharging|False|2023-01-14T07:30:00|2023-01-14T08:00:00
Kingsclere|TEMP.2703|SU53136086|453130|160860|51.3443485624722|-1.23857805743079|Kingsclere Brook|Discharging|True|2023-04-04T06:30:00|None
Kingston Bagpuize|CTCR.2011|SU40359753|440350|197530|51.6750964967962|-1.41786901338573|Bagpuize Brook|Not discharging|False|2023-04-01T16:45:00|2023-04-01T18:45:00
Kingston Main|TEMP.1273|TQ178696|517800|169600|51.4131919738159|-0.307505409739071|River Thames|Not discharging|None|None|None
Kintbury|TEMP.2706|SU395671|439500|167100|51.4015617518479|-1.43356572387127|Kennet & Avon Canal|Not discharging|True|2023-03-31T11:22:00|2023-04-03T11:40:00
Knights Lane|TEMP.1280|SU423636|442300|163600|51.3698914358492|-1.39373312948181|River Enbourne|Offline|False|None|None
Knowle Lane, Cranleigh|TEMP.2711|TQ05683880|505680|138800|51.1387271345466|-0.490812006290054|Cranleigh Waters/Littlemead Brook|Not discharging|False|2023-03-29T19:30:00|2023-03-29T21:15:00
Leaden Roding|CSSC.1400|TL59171311|559170|213110|51.7939960610683|0.30665020904011|Tributary of River Roding|Not discharging|False|2023-01-11T11:15:00|2023-01-11T12:15:00
Leatherhead|CTCR.1780|TQ14695803|514690|158030|51.3098381934784|-0.355932612771356|River Mole|Not discharging|True|2023-03-30T18:30:00|2023-04-02T23:15:00
Lechlade|CTCR.1797|SU22709933|422700|199330|51.6922673681762|-1.67299524123662|River Leach|Discharging|True|2023-03-31T15:30:00|None
Leeside Crescent|TEMP.2736|TQ243883|524300|188300|51.5798641247996|-0.207506706612499|Decoy Brook|Not discharging|False|2023-01-16T04:15:00|2023-01-16T04:45:00
Leopold Road, Church Path|TEMP.2737|TQ21048487|521040|184870|51.5497468751107|-0.25571103376751|Mitchell Brook|Not discharging|False|2023-03-31T20:00:00|2023-03-31T20:30:00
Lightwater|CNTD.0033|SU93956209|493950|162090|51.3501324223075|-0.652321109262201|Windle Brook|Not discharging|False|2023-04-01T10:30:00|2023-04-01T11:00:00
Lindsay Drive, Falcon Way|TEMP.2739|TQ18378835|518370|188350|51.581588810668|-0.293029285800691|Wealdstone Brook|Not discharging|False|2023-03-31T18:45:00|2023-03-31T20:45:00
Little Compton|TEMP.2721|SP25253044|425250|230440|51.971861827205|-1.63384520068619|Little Compton Stream|Not discharging|True|2023-04-03T07:15:00|2023-04-03T08:15:00
Little Hallingbury|CSSC.0263|TL49441743|549440|217430|51.8354912565001|0.167534121770535|Little Hallingbury Brook|Not discharging|True|2023-04-03T09:15:00|2023-04-03T23:30:00
Little Marlow|CNTD.0058|SU87718696|487710|186960|51.574693489319|-0.735737796218536|River Thames|Not discharging|False|2023-02-27T01:46:00|2023-02-27T01:50:00
Little Milton|TEMP.2725|SP62100056|462100|200560|51.700357419837|-1.10282318917825|Gainsbridge Brook|Not discharging|True|2023-04-03T07:30:00|2023-04-03T11:45:00
Littlemead Ind Estate, Cranleigh|CTCR.1941|TQ04843899|504840|138990|51.140589293343|-0.502759131616374|Tributary of Cranleigh Waters|Not discharging|False|2023-03-31T02:15:00|2023-04-01T14:45:00
Littlemore Low Level|TEMP.1358|SP525029|452500|202900|51.7223730780865|-1.24136745028088|River Thames|Not discharging|False|2023-01-12T17:34:00|2023-01-12T17:40:00
London Bridge|TEMP.2743|TQ32868060|532860|180600|51.5087182276592|-0.086945701388316|River Thames|Offline|False|None|None
London Road, Marlborough|TEMP.1368|SU193691|419300|169100|51.4205877244988|-1.72383222642477|River Kennet|Not discharging|None|None|None
Long Crendon|TEMP.2727|SP69980838|469980|208380|51.769731207604|-0.987249195475866|Crendon Stream|Not discharging|False|2023-01-12T22:15:00|2023-01-12T22:45:00
