LocationName|PermitNumber|LocationGridRef|X|Y|LATITUDE|LONGITUDE|ReceivingWaterCourse|AlertStatus|AlertPast48Hours|MostRecentDischargeAlertStart|MostRecentDischargeAlertStop
Waverley Lane|CNTM.1423|SU86024602|486020|146020|51.2069216906331|-0.770025212142545|Bourne Stream|Not discharging|False|2023-03-31T02:00:00|2023-04-02T04:45:00
Wealdbridge, North Weald|TEMP.2197|TL510064|551000|206400|51.7359734043317|0.185362454522869|Cripsey Brook|Offline|False|None|None
West End, Essendon|TEMP.2200|TL268086|526800|208600|51.7617357837096|-0.164085112994453|Wood Hill Brook|Not discharging|False|2023-01-14T10:15:00|2023-01-14T20:45:00
West Heath Ramsdell|NPSWQD001561|SU59365837|459360|158370|51.3213463822934|-1.14955567918042|Tributary of Bow Brook|Not discharging|True|2023-04-03T17:00:00|2023-04-03T19:30:00
West Putney S R, Horne Way|TEMP.2986|TQ234762|523400|176200|51.4713178453282|-0.224723157627427|River Thames|Not discharging|None|None|None
West Way, Botley (Syphon)|TEMP.3035|SP48630623|448630|206230|51.7526593584894|-1.29692370599962|Seacourt Stream|Not discharging|False|2023-03-31T16:30:00|2023-04-01T15:00:00
Western PS Low Lever Sewer|CSAB.0538|TQ28647792|528640|177920|51.48560924228|-0.148695232025545|River Thames|Not discharging|False|2023-03-29T19:45:00|2023-03-29T21:45:00
Western Way|TEMP.3036|TQ25369508|525360|195080|51.6405601614143|-0.18979483292522|Dollis Brook|Not discharging|False|2023-03-31T19:30:00|2023-03-31T22:15:00
Weston (Herts)|TEMP.3001|TL27552961|527550|229610|51.9503661484102|-0.145477059067961|Weston Tributary |Not discharging|True|2023-03-31T10:30:00|2023-04-02T23:45:00
Weston-On-The-Green SPS|TEMP.2220|SP537174|453700|217400|51.8526174955248|-1.22175756269684|Gallos Brook|Not discharging|False|None|None
Weston-On-The-Green STW|TEMP.3002|SP53651747|453650|217470|51.8532515999062|-1.22247257727925|Gallos Brook|Not discharging|False|2023-03-31T07:15:00|2023-04-02T03:00:00
Westway Close|TEMP.2223|TQ228687|522800|168700|51.4040435866586|-0.235956013611411|Old Pyl Ditch|Offline|False|None|None
Weybridge|CTCR.0944|TQ06776314|506770|163140|51.3573089145046|-0.46798524766525|River Wey|Discharging|True|2023-03-31T09:15:00|None
Wheatley|CSSC.2332|SP60730515|460730|205150|51.7417714746099|-1.12184550886679|Wheatley Ditch|Not discharging|True|2023-04-03T07:15:00|2023-04-04T00:15:00
White Roding|CSSC.1455|TL56931368|556930|213680|51.7997492921907|0.274454487534053|Tributary of River Roding|Not discharging|True|2023-04-03T21:00:00|2023-04-03T21:30:00
White Waltham|TEMP.3007|SU865777|486500|177700|51.491639415844|-0.755465443894344|Heywood Stream|Not discharging|None|None|None
Whitwell|TEMP.3008|TL19162074|519160|220740|51.8725127787951|-0.270559584065816|River Mimram|Not discharging|False|2022-11-17T00:00:00|2022-11-17T01:15:00
Widford And Wareside|CLCR.0090|TL41671629|541670|216290|51.827271355298|0.0543762450057863|River Ash|Not discharging|False|2023-04-01T08:45:00|2023-04-01T10:45:00
Willingale|CSSC.1456|TL58950707|558950|207070|51.7397964766638|0.300701599674649|Tributary of River Roding|Not discharging|False|2023-01-22T18:30:00|2023-01-22T23:30:00
Windsor|TEMP.3014|SU997750|499700|175000|51.4651992454848|-0.566156631991493|River Thames|Not discharging|True|2023-04-03T23:06:00|2023-04-03T23:14:00
Wingrave|CSSC.2320|SP86491872|486490|218720|51.8603719069683|-0.745463395429434|Tributary of Rowsham Brook|Discharging|True|2023-04-04T06:30:00|None
Winterbourne|TEMP.3016|SU45557208|445550|172080|51.4458845490519|-1.34596249710674|Winterbourne Stream|Not discharging|False|2022-12-13T01:30:00|2022-12-13T10:30:00
Witney|CATM.3134|SP34640841|434640|208410|51.773296127934|-1.49936292597298|Curbridge Ditch|Discharging|True|2023-03-31T03:00:00|None
Woking|CASM.0308|TQ03275752|503270|157520|51.3074386106479|-0.519860440283044|Guiness Ditch|Not discharging|False|2023-03-31T17:00:00|2023-04-01T23:30:00
Wood Street|CSAB.0564|TQ30297922|530290|179220|51.4969145318802|-0.124465826982521|River Thames|Not discharging|False|2023-03-31T20:58:00|2023-03-31T21:38:00
Woodford Halse|CTCR.1853|SP53605213|453600|252130|52.1648445095168|-1.21778616357127|River Cherwell|Not discharging|False|2023-03-31T16:30:00|2023-04-01T00:00:00
Woodstock|CSSC.2321|SP44961780|444960|217800|51.8569842890945|-1.3485882808973|River Glyme|Not discharging|True|2023-03-30T16:15:00|2023-04-04T11:15:00
Worcester Crescent|AB3890DU|TQ41929219|541920|192190|51.6106610314211|0.0481919400388552|River Roding|Not discharging|False|2023-03-31T08:45:00|2023-04-01T13:15:00
Worminghall|CTCR.1975|SP650091|465000|209100|51.7768032455747|-1.05927411171914|Worminghall Brook|Not discharging|True|2023-04-02T23:00:00|2023-04-02T23:30:00
Worple Road, SW19|TEMP.3044|TQ21826989|521820|169890|51.4149497253427|-0.249629511257783|Beverley Brook|Offline|False|None|None
Wynters Brook, Hastingwood|TEMP.2279|TL489078|548900|207800|51.749113331746|0.155572578973027|Shonks Brook|Not discharging|False|2023-03-30T14:15:00|2023-04-01T21:30:00
